course_code,full_title,type,info,url
APARAPRB,Architect Apprenticeship (Level 7) (RIBA Part 2 and Part 3),Postgraduate,,/course-catalogue/course-specifications/2023-24/APARAPRB/Architect-Apprenticeship-(Level-7)-(RIBA-Part-2-and-Part-3)/
APMAAEPP,"Architecture Apprenticeship (RIBA 2 and 3) - MArch (RIBA 2), P...",Postgraduate,,
APPAFEWL,PGCE Primary Apprenticeship 5-11 (West London Teacher Training...,Postgraduate,,
APPAFSWL,PGCE Primary Apprenticeship 5-11 SEND (West London Teacher Tra...,Postgraduate,,
APPAHTSA,PGCE Primary Apprenticeship (Hackney Teaching Schools Alliance),Postgraduate,,
APPATSWL,PGCE Primary Apprenticeship 3-7 (West London Teacher Training ...,Postgraduate,,
APPGTAPI,Postgraduate Teacher Apprenticeship (PGTA) in Primary (5 – 11)...,Postgraduate,,
APPGTAPM,Postgraduate Teacher Apprenticeship (PGTA) in Primary (7 – 11)...,Postgraduate,,
APPGTAPR,Postgraduate Teacher Apprenticeship (PGTA) in Primary (3 – 7) ...,Postgraduate,,
APPRAPNW,PGCE Primary Apprenticeship (New Wave),Postgraduate,,
APPRIAPP,PGCE Primary Apprenticeship (ages 5-11) (Angel Islington Teach...,Postgraduate,,
PAABACLC,Advanced Diploma in Professional Development in Anti-Bribery a...,Postgraduate,,
PACORSOC,Advanced Diploma in Professional Development in Corporate Soci...,Postgraduate,,/course-catalogue/course-specifications/2023-24/PACORSOC/Advanced-Diploma-in-Professional-Development-in-Corporate-Social-Responsibility-and-Sustainability/
PAEMLAPR,Advanced Diploma in Professional Development in Employment Law...,Postgraduate,,/course-catalogue/course-specifications/2023-24/PAEMLAPR/Advanced-Diploma-in-Professional-Development-in-Employment-Law-and-Practice/
PBMBUADM,Master of Business Administration,Postgraduate,,/course-catalogue/course-specifications/2023-24/PBMBUADM/Master-of-Business-Administration/
PCAMNHPR,PG Certificate Approved Mental Health Practice,Postgraduate,,/course-catalogue/course-specifications/2023-24/PCAMNHPR/PG-Certificate-Approved-Mental-Health-Practice/
PCDSGCCS,PG Cert Design for Cultural Commons,Postgraduate,,/course-catalogue/course-specifications/2023-24/PCDSGCCS/PG-Cert-Design-for-Cultural-Commons/
PCFMMNCT,PG Certification Fashion Marketing and Management,Postgraduate,,/course-catalogue/course-specifications/2023-24/PCFMMNCT/PG-Certification-Fashion-Marketing-and-Management/
PCFRCCDL,"PG Certification Financial Services Law, Regulation & Compliance",Postgraduate,,/course-catalogue/course-specifications/2023-24/PCFRCCDL/PG-Certification-Financial-Services-Law-Regulation-&-Compliance/
PCHRLCDL,PG Certificate Human Rights Law,Postgraduate,,/course-catalogue/course-specifications/2023-24/PCHRLCDL/PG-Certificate-Human-Rights-Law/
PCLMMLDL,PG Certification Media Law,Postgraduate,,/course-catalogue/course-specifications/2023-24/PCLMMLDL/PG-Certification-Media-Law/
PCMTLCDL,PG Certification Maritime Law,Postgraduate,,/course-catalogue/course-specifications/2023-24/PCMTLCDL/PG-Certification-Maritime-Law/
PCPLGPCT,Postgraduate Certificate in Professional Legal Practice,Postgraduate,,
PCPPARCH,PG Certificate Professional Practice in Architecture (RIBA 3),Postgraduate,,/course-catalogue/course-specifications/2023-24/PCPPARCH/PG-Certificate-Professional-Practice-in-Architecture-(RIBA-3)/
PCSPCTRA,PG Certificate Specialised Translation,Postgraduate,,/course-catalogue/course-specifications/2023-24/PCSPCTRA/PG-Certificate-Specialised-Translation/
PCTRSTEC,PG Certificate Translation Technology,Postgraduate,,/course-catalogue/course-specifications/2023-24/PCTRSTEC/PG-Certificate-Translation-Technology/
PDCFINTP,PG Diploma Conference Interpreting,Postgraduate,,/course-catalogue/course-specifications/2023-24/PDCFINTP/PG-Diploma-Conference-Interpreting/
PDDESCCS,PG Dip Design for Cultural Commons,Postgraduate,,/course-catalogue/course-specifications/2023-24/PDDESCCS/PG-Dip-Design-for-Cultural-Commons/
PDFMMNDP,PG Diploma Fashion Marketing and Management,Postgraduate,,/course-catalogue/course-specifications/2023-24/PDFMMNDP/PG-Diploma-Fashion-Marketing-and-Management/
PDFRCDDL,"PG Diploma Financial Services Law, Regulation & Compliance",Postgraduate,,/course-catalogue/course-specifications/2023-24/PDFRCDDL/PG-Diploma-Financial-Services-Law-Regulation-&-Compliance/
PDGLHURM,Postgraduate Diploma Global Human Resource Management,Postgraduate,,/course-catalogue/course-specifications/2023-24/PDGLHURM/Postgraduate-Diploma-Global-Human-Resource-Management/
PDHRLDDL,PG Diploma Human Rights Law,Postgraduate,,/course-catalogue/course-specifications/2023-24/PDHRLDDL/PG-Diploma-Human-Rights-Law/
PDINTERP,PG Diploma Interpreting,Postgraduate,,/course-catalogue/course-specifications/2023-24/PDINTERP/PG-Diploma-Interpreting/
PDLEGPRA,PGD Legal Practice Course,Postgraduate,,/course-catalogue/course-specifications/2023-24/PDLEGPRA/PGD-Legal-Practice-Course/
PDLEGPS1,PGD Legal Practice Course Stage 1,Postgraduate,,
PDLEGPS2,PGD Legal Practice Course Stage 2,Postgraduate,,
PDLLMLDL,PG Diploma Media Law,Postgraduate,,/course-catalogue/course-specifications/2023-24/PDLLMLDL/PG-Diploma-Media-Law/
PDMTLDDL,PG Diploma Maritime Law,Postgraduate,,
PDPSCLGY,PG Diploma Psychology,Postgraduate,,
PDSUTSWK,PG Diploma Step Up to Social Work,Postgraduate,,/course-catalogue/course-specifications/2023-24/PDSUTSWK/PG-Diploma-Step-Up-to-Social-Work/
PDTRASLA,PG Diploma Translation,Postgraduate,,/course-catalogue/course-specifications/2023-24/PDTRASLA/PG-Diploma-Translation/
PECSWICT,PGCE Secondary Computer Science with ICT,Postgraduate,,
PEDNENGL,PGCE Secondary English with Media,Postgraduate,,
PEDNPRIV,PGCE Primary (Viridis),Postgraduate,,
PEENGDRA,PGCE Secondary English with Drama,Postgraduate,,
PEPGSTG2,PGCE Primary (7-11) (Key Stage 2),Postgraduate,,
PEPRMARY,PGCE Primary (5-11),Postgraduate,,
PEPRMYTS,PGCE Primary (3-7),Postgraduate,,
PESECMDL,PGCE Secondary Modern Languages,Postgraduate,,
PESECMTH,PGCE Secondary Mathematics,Postgraduate,,
PESSCBIO,PGCE Secondary Science with Biology,Postgraduate,,
PESSCCHE,PGCE Secondary Science with Chemistry,Postgraduate,,
PESSCPHY,PGCE Secondary Science with Physics,Postgraduate,,
PFMAFIAR,Master of Fine Arts,Postgraduate,,/course-catalogue/course-specifications/2023-24/PFMAFIAR/Master-of-Fine-Arts/
PGCPELAW,Common Professional Exam,Postgraduate,,/course-catalogue/course-specifications/2023-24/PGCPELAW/Common-Professional-Exam/
PIMARRIB,MArch Architecture RIBA 2,Postgraduate,,/course-catalogue/course-specifications/2023-24/PIMARRIB/MArch-Architecture-RIBA-2/
PMAACOMN,MSc Airline and Airport Corporate Management,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMAACOMN/MSc-Airline-and-Airport-Corporate-Management/
PMABLNTE,MA Arabic Language Teaching,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMABLNTE/MA-Arabic-Language-Teaching/
PMADDMHE,MSc Addiction and Mental Health,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMADDMHE/MSc-Addiction-and-Mental-Health/
PMARTINT,MSc Artificial Intelligence,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMARTINT/MSc-Artificial-Intelligence/
PMBIOMDS,MSc Biomedical Science,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMBIOMDS/MSc-Biomedical-Science/
PMBLOSCI,MSc Blood Science,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMBLOSCI/MSc-Blood-Science/
PMBLSCDL,MSc Blood Science (Distance Learning),Postgraduate,,/course-catalogue/course-specifications/2023-24/PMBLSCDL/MSc-Blood-Science-(Distance-Learning)/
PMBMSTDL,MSc Biomedical Studies (Distance Learning),Postgraduate,,/course-catalogue/course-specifications/2023-24/PMBMSTDL/MSc-Biomedical-Studies-(Distance-Learning)/
PMCANPHA,MSc Cancer Pharmacology,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCANPHA/MSc-Cancer-Pharmacology/
PMCAPHIM,MSc Cancer Immunotherapy,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCAPHIM/MSc-Cancer-Immunotherapy/
PMCHADMH,MSc Child and Adolescent Mental Health,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCHADMH/MSc-Child-and-Adolescent-Mental-Health/
PMCLSHDP,MA Climate Security: Humanitarian - Development - Peacebuilding,Postgraduate,,
PMCNCSWE,MSc Computer Networking and Cyber Security with Work Experience,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCNCSWE/MSc-Computer-Networking-and-Cyber-Security-with-Work-Experience/
PMCNSPCT,MSc Counselling and Psychotherapy,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCNSPCT/MSc-Counselling-and-Psychotherapy/
PMCONECS,MSc Computer Networking and Cyber Security,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCONECS/MSc-Computer-Networking-and-Cyber-Security/
PMCONINT,MA Conference Interpreting,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCONINT/MA-Conference-Interpreting/
PMCONPRM,MSc Construction Project Management,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCONPRM/MSc-Construction-Project-Management/
PMCOSORE,MSc Corporate Social Responsibility and Sustainability,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCOSORE/MSc-Corporate-Social-Responsibility-and-Sustainability/
PMCRDIPW,"MA Creative, Digital and Professional Writing",Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCRDIPW/MA-Creative-Digital-and-Professional-Writing/
PMCRMLGY,MSc Criminology,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCRMLGY/MSc-Criminology/
PMCRMMTL,MSc Criminology and Psychopathology,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCRMMTL/MSc-Criminology-and-Psychopathology/
PMCRYPTO,MSc Cryptography,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMCRYPTO/MSc-Cryptography/
PMDATANA,MSc Data Analytics,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMDATANA/MSc-Data-Analytics/
PMDIETNU,MSc Dietetics and Nutrition,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMDIETNU/MSc-Dietetics-and-Nutrition/
PMDIGMED,MA Digital Media,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMDIGMED/MA-Digital-Media/
PMDOCFLM,MA Documentary Film Production,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMDOCFLM/MA-Documentary-Film-Production/
PMEDUCAT,MA Education,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMEDUCAT/MA-Education/
PMEDUECS,MA Education (Early Childhood Studies),Postgraduate,,/course-catalogue/course-specifications/2023-24/PMEDUECS/MA-Education-(Early-Childhood-Studies)/
PMELTEDL,MA English Language Teaching (Distance Learning),Postgraduate,,/course-catalogue/course-specifications/2023-24/PMELTEDL/MA-English-Language-Teaching-(Distance-Learning)/
PMEMCNCS,Extended Master's - MSc Computer Networking and Cyber Security,Postgraduate,,
PMEMDAAN,Extended Master's - MSc Data Analytics,Postgraduate,,
PMEMEDUC,Extended Master's - MA Education,Postgraduate,,
PMEMIBMA,Extended Master's - MSc International Business Management,Postgraduate,,
PMEMIBMP,Extended Master's - MSc International Business Management with...,Postgraduate,,
PMEMITRL,Extended Master's - MA International Relations,Postgraduate,,
PMEMMBAA,Extended Master's - Master of Business Administration,Postgraduate,,
PMEMPBHT,Extended Master's - MSc Public Health,Postgraduate,,
PMENLNTE,MA English Language Teaching,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMENLNTE/MA-English-Language-Teaching/
PMEVSTRD,"MA Environmental, Sustainable and Regeneration Design",Postgraduate,,/course-catalogue/course-specifications/2023-24/PMEVSTRD/MA-Environmental-Sustainable-and-Regeneration-Design/
PMFAMAMN,MA Fashion Marketing and Management,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMFAMAMN/MA-Fashion-Marketing-and-Management/
PMFOODSC,MSc Food Science,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMFOODSC/MSc-Food-Science/
PMFRCMDL,"LLM Financial Services Law, Regulation and Compliance",Postgraduate,,/course-catalogue/course-specifications/2023-24/PMFRCMDL/LLM-Financial-Services-Law-Regulation-and-Compliance/
PMFSLRCT,"LLM Financial Services Law, Regulation and Compliance (Top-up)",Postgraduate,,/course-catalogue/course-specifications/2023-24/PMFSLRCT/LLM-Financial-Services-Law-Regulation-and-Compliance-(Top-up)/
PMFURNDE,MA Furniture Design,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMFURNDE/MA-Furniture-Design/
PMGBHMRM,MA Global Human Resource Management,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMGBHMRM/MA-Global-Human-Resource-Management/
PMHRLMDL,LLM Human Rights Law,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMHRLMDL/LLM-Human-Rights-Law/
PMHSCLMG,MSc Health and Social Care Leadership and Management,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMHSCLMG/MSc-Health-and-Social-Care-Leadership-and-Management/
PMHUMNTR,MSc Human Nutrition,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMHUMNTR/MSc-Human-Nutrition/
PMHURIIC,MA Human Rights and International Conflict,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMHURIIC/MA-Human-Rights-and-International-Conflict/
PMIBUMNT,MSc International Business Management,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMIBUMNT/MSc-International-Business-Management/
PMIBUPJT,MSc International Business Management with Project Management,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMIBUPJT/MSc-International-Business-Management-with-Project-Management/
PMIELTMT,"MSc International Events, Leisure and Tourism Management",Postgraduate,,/course-catalogue/course-specifications/2023-24/PMIELTMT/MSc-International-Events-Leisure-and-Tourism-Management/
PMINACFI,MSc International Accounting and Finance,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMINACFI/MSc-International-Accounting-and-Finance/
PMINBAFI,MSc International Banking and Finance,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMINBAFI/MSc-International-Banking-and-Finance/
PMINRDES,MA Interior Design,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMINRDES/MA-Interior-Design/
PMINSECS,MA International Security Studies,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMINSECS/MA-International-Security-Studies/
PMINTRFI,MSc International Trade and Finance,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMINTRFI/MSc-International-Trade-and-Finance/
PMINTRLN,MA International Relations,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMINTRLN/MA-International-Relations/
PMINTSCS,MA International Security Studies,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMINTSCS/MA-International-Security-Studies/
PMITPRET,MA Interpreting,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMITPRET/MA-Interpreting/
PMJWLSVR,MA Jewellery and Silversmithing,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMJWLSVR/MA-Jewellery-and-Silversmithing/
PMLEATEA,MA Learning and Teaching in Higher Education,Postgraduate,,
PMLEGAPR,LLM Legal Practice,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMLEGAPR/LLM-Legal-Practice/
PMLEGPRT,LLM Legal Practice (Top-up),Postgraduate,,/course-catalogue/course-specifications/2023-24/PMLEGPRT/LLM-Legal-Practice-(Top-up)/
PMLLMMLW,LLM Media Law,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMLLMMLW/LLM-Media-Law/
PMMEDCON,MA Media and Communications,Postgraduate,,
PMMEDICS,MSc Medical Genomics,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMMEDICS/MSc-Medical-Genomics/
PMMKTPWY,MA Marketing,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMMKTPWY/MA-Marketing/
PMMRTMLW,LLM Maritime Law (Top-Up) (Distance Learning),Postgraduate,,/course-catalogue/course-specifications/2023-24/PMMRTMLW/LLM-Maritime-Law-(Top-Up)-(Distance-Learning)/
PMMTLMDL,LLM Maritime Law,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMMTLMDL/LLM-Maritime-Law/
PMORCRGS,MA Organised Crime and Global Security,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMORCRGS/MA-Organised-Crime-and-Global-Security/
PMPCODIP,"MA Peace, Conflict and Diplomacy",Postgraduate,,/course-catalogue/course-specifications/2023-24/PMPCODIP/MA-Peace-Conflict-and-Diplomacy/
PMPHSDDS,MSc Pharmaceutical Science and Drug Delivery Systems,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMPHSDDS/MSc-Pharmaceutical-Science-and-Drug-Delivery-Systems/
PMPRODDE,MA Product Design,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMPRODDE/MA-Product-Design/
PMPROJMN,MSc Project Management,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMPROJMN/MSc-Project-Management/
PMPSBSOL,Biomedical Science On-line,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMPSBSOL/Biomedical-Science-On-line/
PMPSLOGY,MSc Psychology,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMPSLOGY/MSc-Psychology/
PMPSMEHE,MSc Psychology of Mental Health,Postgraduate,,/course-catalogue/course-specifications/2023-24/PMPSMEHE/MSc-Psychology-of-Mental-Health/
