country,url,academic,mathematics and english
Algeria,https://www.londonmet.ac.uk/international/applying/entry-requirements-by-country/algeria/,"<table border=""0"">
<tbody>
<tr>
<td>
<h3>Type of course</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td><a href=""/applying/undergraduate/"">Undergraduate</a></td>
<td>
<p>DiplÃ´me de Technicien SupÃ©rieur â grade 12 out of 20</p>
<p>BaccalaurÃ©at de l'Enseignement Secondaire â grade 14 out of 20</p>
</td>
</tr>
<tr>
<td><a href=""/courses/extended-degrees/"">Four-year degree including a foundation year</a></td>
<td>Students who fall slightly below the standard requirements for an undergraduate course may be considered for an available or appropriate foundation year degree programme.</td>
</tr>
<tr>
<td><a href=""/courses/postgraduate/"">Postgraduate</a></td>
<td>
<p>Licence or DiplÃ´me (normally 4 years in duration) â grade 13 out of 20</p>
</td>
</tr>
<tr>
<td><a href=""/courses/international-foundation-programme/"">International Foundation Programme</a></td>
<td>BaccalaurÃ©at de l'Enseignement Secondaire â grade 12 out of 20</td>
</tr>
</tbody>
</table>","<table border=""0"">
<tbody>
<tr>
<td>
<h3>Subject</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td>English</td>
<td>Non-EEA nationals who require a Tier 4 student visa must provide a Secured English Language Test (SELT) such as Academic IELTS or Pearson PTE Academic qualification. Please see our <a href=""/international/applying/english-language-requirements/"">English language requirements</a>.</td>
</tr>
<tr>
<td>Mathematics (if applicable to your course)</td>
<td>BaccalaurÃ©at de l'Enseignement Secondaire â grade 12 out of 20</td>
</tr>
</tbody>
</table>"
Angola,https://www.londonmet.ac.uk/international/applying/entry-requirements-by-country/angola/,"<table border=""0"">
<tbody>
<tr>
<td>
<h3>Type of course</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td><a href=""/applying/undergraduate/"">Undergraduate</a></td>
<td>
<p>Applicants from Angola are eligible to apply for our four-year degrees including a foundation year â see below</p>
</td>
</tr>
<tr>
<td><a href=""/courses/extended-degrees/"">Four-year degree including a foundation year</a></td>
<td>Students who fall slightly below the standard requirements for an undergraduate course may be considered for an available or appropriate foundation year degree programme.</td>
</tr>
<tr>
<td><a href=""/courses/postgraduate/"">Postgraduate</a></td>
<td>
<p>Licenciado with a minimum of 12-20. </p>
</td>
</tr>
<tr>
<td><a href=""/courses/international-foundation-programme/"">International Foundation Programme</a></td>
<td>HabilitaÃ§Ã£o LiterÃ¡rias (Secondary School Leaving Certificate) â grade 12 out of 20 </td>
</tr>
</tbody>
</table>","<table border=""0"">
<tbody>
<tr>
<td>
<h3>Subject</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td>English</td>
<td>Non-EEA nationals who require a Tier 4 student visa must provide a Secured English Language Test (SELT) such as Academic IELTS or Pearson PTE Academic qualification. Please see our <a href=""/international/applying/english-language-requirements/"">English language requirements</a>.</td>
</tr>
<tr>
<td>Mathematics (if applicable to your course)</td>
<td>HabilitaÃ§Ã£o LiterÃ¡rias (Secondary School Leaving Certificate) â grade 12 out of 20. </td>
</tr>
</tbody>
</table>"
Argentina,https://www.londonmet.ac.uk/international/applying/entry-requirements-by-country/argentina/,"<table border=""0"">
<tbody>
<tr>
<td>
<h3>Type of course</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td><a href=""/applying/undergraduate/"">Undergraduate</a></td>
<td>
<p>Any of the following qualifications:</p>
<ul>
<li>TÃ­tulo de TÃ©cnico Superior</li>
<li>Trayectos TÃ©cnico Profesionales (TTP)</li>
<li>TÃ©cnico UniversitÃ¡rio (Semi-Professional Title â 2 years)</li>
</ul>
<p>Grade requirement: 8 or higher</p>
</td>
</tr>
<tr>
<td><a href=""/courses/extended-degrees/"">English language requirements</a></td>
<td>Students who fall slightly below the standard requirements for an undergraduate course may be considered for an available or appropriate foundation year degree programme.</td>
</tr>
<tr>
<td><a href=""/courses/postgraduate/"">Postgraduate</a></td>
<td>
<p>Grado de Licenciado or TÃ­tulo (Professional subject) over 4 years or longer with grades 6 or higher.</p>
</td>
</tr>
<tr>
<td><a href=""/courses/international-foundation-programme/"">International Foundation Programme</a></td>
<td>
<p>Any of the following qualifications:</p>
<ul>
<li>Bachillerato</li>
<li>TÃ­tulo de TÃ©cnico</li>
<li>TÃ©cnico Superior</li>
<li>TÃ­tulo de Bachillerato TÃ©cnico</li>
<li>Trayectos TÃ©cnico Profesionales (TTP)</li>
<li>TÃ©cnico UniversitÃ¡rio (Semi-Professional Title â 2 years)</li>
</ul>
<p>Grade requirement: 4 - 5 or Aprobado.</p>
</td>
</tr>
</tbody>
</table>","<table border=""0"">
<tbody>
<tr>
<td>
<h3>Subject</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td>English</td>
<td>Applicants who require a student visa must provide a Secured English Language Test (SELT) such as Academic IELTS or Pearson PTE Academic qualification. Please see our <a href=""/international/applying/english-language-requirements/"">English language requirements</a>.</td>
</tr>
<tr>
<td>Mathematics (if applicable to your course)</td>
<td>
<p>Bachillerato - Grade 4-10 or Aprobado, Bueno, Distinguido or Sobresaliente in final year.</p>
</td>
</tr>
</tbody>
</table>"
Australia,https://www.londonmet.ac.uk/international/applying/entry-requirements-by-country/australia/,"<table border=""0"">
<tbody>
<tr>
<td>
<h3>Type of course</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td><a href=""/applying/undergraduate/"">Undergraduate</a></td>
<td>
<p>Senior Secondary Certificate of Education with the following variations per region: <br/>- Australian Capital Territory: ACT Year 12 Certificate; <br/>- New South Wales: High School Certificate (HSC);  <br/>- Northern Territory: Northern Territory Certificate of Education (NTCE); <br/>- Queensland: Senior Certificate;  <br/>- South Australia: Southern Australian Certificate of Education (SACE);  <br/>- Tasmania: Tasmanian Certificate of Education (TCE);  <br/>- Victoria: Victoria Certificate of Education (VCE) <br/>- Western Australia: Certificate of Education<br/><br/>Students should be ranked in the top 37 per cent of students in the following exams: <br/>- TER (Tertiary Entrance Rank) and UAI (University Admissions Index): min 63 per cent<br/>- TES (Tertiary Entrance Rank): between one and 10 (out of 25)</p>
</td>
</tr>
<tr>
<td><a href=""/courses/extended-degrees/"">Four-year degree including a foundation year</a></td>
<td>Students who fall slightly below the standard requirements for an undergraduate course may be considered for an available or appropriate foundation year degree programme.</td>
</tr>
<tr>
<td><a href=""/courses/postgraduate/"">Postgraduate</a></td>
<td>
<p>Four years (honours) with credit 60-69 per cent or Second Class Lower Division (Division B or Division 2)</p>
<p>Four years Bachelor's degree (honours) with 60 per cent or above.</p>
</td>
</tr>
</tbody>
</table>","<table border=""0"" style=""width: 100%; border-width: 0px;"">
<tbody>
<tr>
<td>
<h3>Subject</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td>English</td>
<td>N/A</td>
</tr>
<tr>
<td>Mathematics (if applicable to your course)</td>
<td>N/A </td>
</tr>
</tbody>
</table>"
Austria,https://www.londonmet.ac.uk/international/applying/entry-requirements-by-country/austria/,"<table border=""0"">
<tbody>
<tr>
<td>
<h3>Type of course</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td><a href=""/applying/undergraduate/"">Undergraduate</a></td>
<td>Matura/ReifeprÃ¼fungszeugnis or Berufsreifeprufung, between grades 1.0 and 3.0</td>
</tr>
<tr>
<td><a href=""/courses/extended-degrees/"">Four-year degree including a foundation year</a></td>
<td>Students who fall slightly below the standard requirements for an undergraduate course may be considered for an available or appropriate foundation year programme.</td>
</tr>
<tr>
<td><a href=""/courses/postgraduate/"">Postgraduate</a></td>
<td>Diploma, Magister, Bachelor, Fachhochschul-Diplom, Mag FH or Dipl-Ing FH with a grade average of 2.5 or above</td>
</tr>
<tr>
<td><a href=""/courses/international-foundation-programme/"">International Foundation Programme</a></td>
<td>A minimum aggregate Matura or ReifeprÃ¼fung mark of 3.2 to 4</td>
</tr>
</tbody>
</table>","<table border=""0"">
<tbody>
<tr>
<td>
<h3>Subject</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td>English</td>
<td>
<p>Applicants who require a student visa must provide a Secured English Language Test (SELT) such as Academic IELTS or Pearson PTE Academic qualification. Please see our <a href=""/international/applying/english-language-requirements/"">English language requirements</a>.</p>
</td>
</tr>
<tr>
<td>Mathematics (if applicable to your course)</td>
<td>A minimum grade of 4 (genugend) in the Matura or 3 (befriedigend) in the final year</td>
</tr>
</tbody>
</table>"
Bahrain,https://www.londonmet.ac.uk/international/applying/entry-requirements-by-country/bahrain/,"<table border=""0"">
<tbody>
<tr>
<td>
<h3>Type of course</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td><a href=""/applying/undergraduate/"">Undergraduate</a></td>
<td>
<p>Diploma (2 years) with CGPA of 2.0+ and a minimum of 70% in the Shahadat Al-Thanawaya Al-Aama (Secondary School Leaving Certificate).</p>
<p>Associate degree (two years) or Diploma (two years) with CGPA 2.0 (4.0 scale) or C</p>
</td>
</tr>
<tr>
<td><a href=""/courses/extended-degrees/"">Four-year degree including a foundation year</a></td>
<td>Students who fall slightly below the standard requirements for an undergraduate course may be considered for an available or appropriate foundation year degree programme. Or an associate degree (two years) or diploma (two years) with CGPA 2.0 (4.0 scale) or C.</td>
</tr>
<tr>
<td><a href=""/courses/postgraduate/"">Postgraduate</a></td>
<td>
<p>Bachelor's, a minimum CGPA of 2 (C,C+)</p>
</td>
</tr>
<tr>
<td><a href=""/courses/international-foundation-programme/"">International Foundation Programme</a></td>
<td>'Shahadat Al-Thanawaya Al-Aama'(Secondary School Leaving Certificate), with 70% or above</td>
</tr>
</tbody>
</table>","<table border=""0"">
<tbody>
<tr>
<td>
<h3>Subject</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td>English</td>
<td>Non-EEA nationals who require a Tier 4 student visa must provide a Secured English Language Test (SELT) such as Academic IELTS or Pearson PTE Academic qualification. Please see our <a href=""/international/applying/english-language-requirements/"">English language requirements</a>.</td>
</tr>
<tr>
<td>Mathematics (if applicable to your course)</td>
<td>
<p>Shahadat Al-Thanawaya Al-Aama (Secondary School Leaving Certificate), 70%. </p>
</td>
</tr>
</tbody>
</table>"
Bangladesh,https://www.londonmet.ac.uk/international/applying/entry-requirements-by-country/bangladesh/,"<table border=""0"">
<tbody>
<tr>
<td>
<h3>Type of course</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td><a href=""/applying/undergraduate/"">Undergraduate</a></td>
<td>
<p>70% in Higher School Certificate</p>
</td>
</tr>
<tr>
<td><a href=""/courses/extended-degrees/"">Four-year degree including a foundation year</a></td>
<td>40% in Higher School Certificate</td>
</tr>
<tr>
<td><a href=""/courses/postgraduate/"">Postgraduate</a></td>
<td>
<p>Students need a four-year bachelor's degree with 2.5 CGPA or a two-year bachelor's degree plus two-year masters from a recognised university with 2.5 CGPA</p>
</td>
</tr>
<tr>
<td><a href=""/courses/international-foundation-programme/"">International Foundation Programme</a></td>
<td>GPA of 3.0 out of 5.0 in Secondary School Certificate (SSC) and Higher School Certificate (HSC), or one A Level pass.</td>
</tr>
</tbody>
</table>","<table border=""0"">
<tbody>
<tr>
<td>
<h3>Subject</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td>English</td>
<td>
<p>Non-EEA nationals who require a Tier 4 student visa must provide a Secured English Language Test (SELT) such as Academic IELTS or Pearson PTE Academic qualification. Please see our <a href=""/international/applying/english-language-requirements/"">English language requirements</a>.</p>
</td>
</tr>
<tr>
<td>Mathematics (if applicable to your course)</td>
<td>Higher School Certificate (HSC) 60%.</td>
</tr>
</tbody>
</table>"
Belgium,https://www.londonmet.ac.uk/international/applying/entry-requirements-by-country/belgium/,"<table border=""0"">
<tbody>
<tr>
<td>
<h3>Type of course</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td><a href=""/applying/undergraduate/"">Undergraduate</a></td>
<td>Certificat d'Enseignement Secondaire or Diploma Secundair Onderwijs or Abschlusszeugnis der Oberstufe des Sekundarunterrichts at grade 12 or 60% with ""mention""</td>
</tr>
<tr>
<td><a href=""/courses/extended-degrees/"">Four-year degree including a foundation year</a></td>
<td>Students who fall slightly below the standard requirements for an undergraduate course may be considered for an available or appropriate foundation year degree programme.</td>
</tr>
<tr>
<td><a href=""/courses/postgraduate/"">Postgraduate</a></td>
<td>Second cycle or Licencie/Licentiaat degree or a bachelor's degree at grade 70% or above</td>
</tr>
<tr>
<td><a href=""/courses/international-foundation-programme/"">International Foundation Programme</a></td>
<td>10 to 11 or 50% to 59% in Certificat d'Enseignement Secondaire or Diploma Secundair Onderwijs or in the Abschlusszeugnis der Oberstufe des Sekundarunterrichts will need to do the International Foundation Programme.</td>
</tr>
</tbody>
</table>","<table border=""0"">
<tbody>
<tr>
<td>
<h3>Subject</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td>English</td>
<td>Applicants who require a student visa must provide a Secured English Language Test (SELT) such as Academic IELTS or Pearson PTE Academic qualification. Please see our <a href=""/international/applying/english-language-requirements/"">English language requirements</a>.</td>
</tr>
<tr>
<td>Mathematics (if applicable to your course)</td>
<td>12 or 60% in the final year of bulletin/rapport</td>
</tr>
</tbody>
</table>"
Brazil,https://www.londonmet.ac.uk/international/applying/entry-requirements-by-country/brazil/,"<table border=""0"">
<tbody>
<tr>
<td>
<h3>Type of course</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td><a href=""/applying/undergraduate/"">Undergraduate</a></td>
<td>
<p>Any of the following qualifications:</p>
<ul>
<li>Diploma de TÃ©cnico de Nivel MÃ©dio</li>
<li>Diploma de TÃ©cnico de Segundo Grau</li>
<li>Certificado de HabilitaÃ§Ã£o</li>
<li>Certificado de Auxiliar TÃ©cnico</li>
<li>Certificado de Ensino MÃ©dio</li>
</ul>
<p>Grade requirement: 7+, or B, or Muito Bom or Excelente</p>
<p>In addition applicants must have completed the University Entrance exam (Vestibular).</p>
</td>
</tr>
<tr>
<td><a href=""/courses/extended-degrees/"">Four-year degree including a foundation year</a></td>
<td>
<p>Students who fall slightly below the standard requirements for an undergraduate course may be considered for an available or appropriate foundation year degree programme</p>
.</td>
</tr>
<tr>
<td><a href=""/courses/postgraduate/"">English language requirements</a></td>
<td>
<p>Any of the following qualifications from a recognised Brazilian institution:</p>
<ul>
<li>Bacharel/Licenciado</li>
<li>TÃ­tulo Profissional (from four years or longer study)</li>
</ul>
<p>Grade requirement: 7+, or B, or Muito Bom or Excelente</p>
</td>
</tr>
<tr>
<td><a href=""/courses/international-foundation-programme/"">International Foundation Programme</a></td>
<td>
<p>Any of the following qualifications:</p>
<ul>
<li>Diploma de TÃ©cnico de Nivel MÃ©dio</li>
<li>Diploma de TÃ©cnico de Segundo Grau</li>
<li>Certificado de HabilitaÃ§Ã£o</li>
<li>Certificado de Auxiliar TÃ©cnico</li>
<li>Certificado de Ensino MÃ©dio</li>
</ul>
<p><span class=""TextRun SCXW200628185 BCX0"" data-contrast=""auto"" lang=""EN-GB"" xml:lang=""EN-GB""><span class=""NormalTextRun SCXW200628185 BCX0"">Grade requirement</span></span><span class=""TextRun SCXW200628185 BCX0"" data-contrast=""auto"" lang=""EN-GB"" xml:lang=""EN-GB""><span class=""NormalTextRun SCXW200628185 BCX0"">: 6+,</span></span><span class=""TextRun SCXW200628185 BCX0"" data-contrast=""auto"" lang=""EN-GB"" xml:lang=""EN-GB""><span class=""NormalTextRun SCXW200628185 BCX0""> or C or Bom</span></span></p>
</td>
</tr>
</tbody>
</table>","<table border=""0"">
<tbody>
<tr>
<td>
<h3>Subject</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td>English</td>
<td>Applicants who require a student visa must provide a Secured English Language Test (SELT) such as Academic IELTS or Pearson PTE Academic qualification. Please see our <a href=""/international/applying/english-language-requirements/"">English language requirements</a>.</td>
</tr>
<tr>
<td>Mathematics (if applicable to your course)</td>
<td>
<p>Certificado de Ensino MÃ©dio (or equivalent qualification) Mathematics â grade: 5+, or C or Bom</p>
</td>
</tr>
</tbody>
</table>"
Bulgaria,https://www.londonmet.ac.uk/international/applying/entry-requirements-by-country/bulgaria/,"<table border=""0"">
<tbody>
<tr>
<td>
<h3>Type of course</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td><a href=""/applying/undergraduate/"">Undergraduate</a></td>
<td>
<p>One of the following qualifications with a minimum of 5 overall:</p>
<ul>
<li>Diploma za Sredno Obrazovanie</li>
<li>Diploma za Zavarsheno Poluvisshe Obrazovanie</li>
</ul>
</td>
</tr>
<tr>
<td><a href=""/courses/extended-degrees/"">Four-year degree including a foundation year</a></td>
<td>Students who fall slightly below the standard requirements for an undergraduate course may be considered for an available or appropriate foundation year degree programme.</td>
</tr>
<tr>
<td><a href=""/courses/postgraduate/"">Postgraduate</a></td>
<td>
<p>One of the following qualifications with a minimum of 5 overall:</p>
<ul>
<li>Diploma za Zavarsheno Visshe Obrazovanie</li>
<li>Post 2001 bachelor's degree</li>
<li>Master's degree</li>
</ul>
</td>
</tr>
<tr>
<td><a href=""/courses/international-foundation-programme/"">International Foundation Programme</a></td>
<td>
<p>One of the following qualifications with a minimum of 4 overall:</p>
<ul>
<li>Diploma za Sredno Spetsialno Obrazovanie/Svidetelstvo za profesionalna kvalifikacia</li>
<li>Diploma za Sredno Obrazovanie</li>
<li>Diploma za Zavarsheno Poluvisshe Obrazovanie</li>
</ul>
</td>
</tr>
</tbody>
</table>","<table border=""0"">
<tbody>
<tr>
<td>
<h3>Subject</h3>
</td>
<td>
<h3>Qualification/grade</h3>
</td>
</tr>
<tr>
<td>English</td>
<td>Applicants who require a student visa must provide a Secured English Language Test (SELT) such as Academic IELTS or Pearson PTE Academic qualification. Please see our <a href=""/international/applying/english-language-requirements/"">English language requirements</a>.</td>
</tr>
</tbody>
</table>"
