Qualification Title,Awarding Body,GLH,Size band,Grade,Grade Band,TARIFF POINTS,Qualification offered in,Qualification Type,Awarding Body full title
 A Level (Double Award) and Advanced VCE (Double Award),Various,720,(4+4),A*A*,"(14,14)",112,Multiple UK nations,Qualification Type unavailable,Various
 A Level (Double Award) and Advanced VCE (Double Award),Various,720,(4+4),A*A,"(14,12)",104,Multiple UK nations,Qualification Type unavailable,Various
 A Level (Double Award) and Advanced VCE (Double Award),Various,720,(4+4),AA,"(12,12)",96,Multiple UK nations,Qualification Type unavailable,Various
 A Level (Double Award) and Advanced VCE (Double Award),Various,720,(4+4),AB,"(12,10)",88,Multiple UK nations,Qualification Type unavailable,Various
 A Level (Double Award) and Advanced VCE (Double Award),Various,720,(4+4),BB,"(10,10)",80,Multiple UK nations,Qualification Type unavailable,Various
 A Level (Double Award) and Advanced VCE (Double Award),Various,720,(4+4),BC,"(10,8)",72,Multiple UK nations,Qualification Type unavailable,Various
 A Level (Double Award) and Advanced VCE (Double Award),Various,720,(4+4),CC,"(8,8)",64,Multiple UK nations,Qualification Type unavailable,Various
 A Level (Double Award) and Advanced VCE (Double Award),Various,720,(4+4),CD,"(8,6)",56,Multiple UK nations,Qualification Type unavailable,Various
 A Level (Double Award) and Advanced VCE (Double Award),Various,720,(4+4),DD,"(6,6)",48,Multiple UK nations,Qualification Type unavailable,Various
 A Level (Double Award) and Advanced VCE (Double Award),Various,720,(4+4),DE,"(6,4)",40,Multiple UK nations,Qualification Type unavailable,Various
 A Level (Double Award) and Advanced VCE (Double Award),Various,720,(4+4),EE,"(4,4)",32,Multiple UK nations,Qualification Type unavailable,Various
 A Level and Advanced VCE,Various,360,4,A*,14,56,Multiple UK nations,Qualification Type unavailable,Various
 A Level and Advanced VCE,Various,360,4,A,12,48,Multiple UK nations,Qualification Type unavailable,Various
 A Level and Advanced VCE,Various,360,4,B,10,40,Multiple UK nations,Qualification Type unavailable,Various
 A Level and Advanced VCE,Various,360,4,C,8,32,Multiple UK nations,Qualification Type unavailable,Various
 A Level and Advanced VCE,Various,360,4,D,6,24,Multiple UK nations,Qualification Type unavailable,Various
 A Level and Advanced VCE,Various,360,4,E,4,16,Multiple UK nations,Qualification Type unavailable,Various
 A Level with AS (additional),Various,540,(4+2),A*A,"(14,10)",76,Multiple UK nations,Qualification Type unavailable,Various
